industry_id,num_firms,gross_margin,net_margin,pretax_operating_margin,pretax_lease_rnd_adj_operating_margin,ebitda_sales,ebitdarnd_sales,rnd_sales,sga_sales,sbc_sales,vintage_id,region_id
1,52,0.36242944995377313,-0.0030178781818924268,0.10065798723499017,0.1019039142882163,0.14055245204906705,0.17122874619789805,0.030676294148830982,0.189826722780469,0.032343994735277944,1,1
2,79,0.17484617635485683,0.04989121339012427,0.08654588995592664,0.08765371591441157,0.1068539788925033,0.14703718160393586,0.040183202711432574,0.0650377535668431,0.011476249766617595,1,1
3,23,0.24794774956371204,0.025083018730598778,0.05321179963425901,0.04899064232947189,0.10266258028530147,0.10649303652807827,0.0038304562427768116,0.03602908466515247,0.0036329027516084794,1,1
4,35,0.5688336662965753,0.038475945106670836,0.09110059660081257,0.0987364672594272,0.11474146388695698,0.11488025019303948,0.0001387863060824985,0.47616942646333643,0.010651497083534285,1,1
5,33,0.1040914638402371,0.012913827594325342,0.023182133033712707,0.025282982120005484,0.07489374639612317,0.12792398697504298,0.053030240578919814,0.06258473987499873,0.008421169631119718,1,1
6,35,0.15844150321852046,0.007202034312769674,0.056737586636622525,0.05963900470224144,0.09035108972189304,0.13985104430094433,0.049499954579051264,0.08307156124477727,0.006970916153610806,1,1
7,15,1.0,0.2888846768058161,0.0,0.0007750801437471605,0.0,0.0,0.0,0.5714028146139629,0.02295035180162027,1,1
8,568,0.9962026031203862,0.2749474644728205,4.9066905828215586e-08,-0.0012057021094349254,0.0,0.0,0.0,0.523692230799014,0.01599547328353592,1,1
9,14,0.46957791238962454,0.005600811728555208,0.22763344185619852,0.22787292666526612,0.2952251033944647,0.2952313793452475,6.275950782826342e-06,0.2366707015192106,0.006107229873408964,1,1
10,27,0.5473900935724383,0.13397826583728403,0.20525114640955128,0.20632057123289904,0.22784289751602432,0.23270453486135545,0.004861637345331118,0.33458859950060926,0.0048495107100562755,1,1
11,24,0.38134154857540875,0.020595322975177813,0.1233389317157333,0.12350100117883597,0.1821287934482517,0.18220159911486236,7.280566661064366e-05,0.2134480550890237,0.009467326860984247,1,1
12,32,0.5327094441534391,0.14448752194167302,-1.7915896597858007e-05,-0.0010225862520353711,-8.227833390552346e-06,0.002741469155583834,0.002749696988974386,0.2954276758856713,0.025120246485445162,1,1
13,41,0.309400568585443,0.07422275694022355,0.12636826516708588,0.1284573960907987,0.17320410164697317,0.18584320112247033,0.012639099475497156,0.16651832142441658,0.006395409737317035,1,1
14,155,0.33378878082476077,0.07032930062638384,0.12272432450303421,0.12376381090514216,0.15645965559174238,0.16828875264362952,0.011829097051887155,0.17856981469681096,0.013896846049338734,1,1
15,9,0.6291334595370633,0.07083622978758933,0.18485745815039542,0.18218073123236797,0.3236889725407062,0.32500031762683756,0.0013113450861313232,0.2946456282749596,0.010653657881410844,1,1
16,29,0.09305386409140609,-0.03726120799643747,0.02673718088170194,0.0283228487280309,0.12338324699137568,0.1333577694446566,0.009974522453280935,0.0528773711859329,0.0038505562724450836,1,1
17,4,0.1531858869639735,-0.05354718409440587,0.03291326738773162,0.034353996250800434,0.09679731804470253,0.11583382625950145,0.01903650821479893,0.10435014853326473,0.004703252985002482,1,1
18,59,0.3511643603587584,0.02907920798019631,0.12171996795178963,0.12453893761725805,0.18008981421154488,0.2062161747368672,0.0261263605253223,0.1742885134324314,0.006775319346386865,1,1
19,16,0.14859952405146995,-0.02125757000356644,-0.040171813141936595,-0.0384447281918953,0.1304216890103519,0.13297541818904876,0.0025537291786968818,0.07253908772100191,0.011301609982318113,1,1
20,64,0.24259419692556378,0.044525069673165746,0.07409334745931717,0.07810553077104378,0.08976204696621921,0.11501325386883758,0.02525120690261836,0.13921230264838153,0.008631350718226537,1,1
