industry_id,num_firms,rnd_capitalized_usd_m,cap_rnd_pct_invested_capital,rnd_ltm_usd_m,current_rnd_pct_revenue,rnd_cagr_5y,vintage_id,region_id
1,52,3315.4702000000007,0.24523434948130793,1131.511,0.030676294148830982,0.013864826020648424,1,1
2,79,60092.527799999974,0.27373265084928095,20116.79100000001,0.040183202711432574,0.010832423986646855,1,1
3,23,2746.5306,0.019995745950537935,938.8960000000002,0.0038304562427768116,0.014065291730014584,1,1
4,35,31.200799999999994,0.0008938282066110509,8.775,0.0001387863060824985,-0.21273323732038585,1,1
5,33,77243.33640000003,0.16075670284663499,26362.073,0.053030240578919814,0.0007424575574568326,1,1
6,35,13094.185200000002,0.34767406299379927,4353.769,0.049499954579051264,0.025079736330500202,1,1
7,15,0.0,0.0,0.0,0.0,,1,1
8,568,0.0,0.0,0.0,0.0,,1,1
9,14,0.5144,1.460210395796787e-05,0.172,6.275950782826342e-06,0.009571122817161548,1,1
10,27,2650.538,0.019266823819663666,884.398,0.004861637345331118,0.0029154282244276963,1,1
11,24,15.16,0.00025730435612065545,5.2,7.280566661064366e-05,0.11628841548417412,1,1
12,32,2850.981,0.002106881482035623,979.1899999999999,0.002749696988974386,0.016694469954114055,1,1
13,41,4676.1886,0.0721509671161045,1579.2210000000002,0.012639099475497156,0.018282847848194006,1,1
14,155,9387.7074,0.09008640086137273,3188.6489999999994,0.011829097051887155,0.017398913363864565,1,1
15,9,929.8000000000002,0.0031459410340700326,289.0,0.0013113450861313232,-0.053277172018024066,1,1
16,29,3505.7478000000006,0.04446489686359899,1150.2459999999999,0.009974522453280935,-0.004449285759376309,1,1
17,4,695.1660000000002,0.07489295418168242,232.36,0.01903650821479893,0.003646016198455282,1,1
18,59,16196.616000000004,0.08044412429607761,5438.793000000002,0.0261263605253223,0.0059415212240874204,1,1
19,16,71.082,0.007124054275818352,22.090000000000003,0.0025537291786968818,-0.01710336858140704,1,1
20,64,25045.6214,0.34747110743645127,8631.038999999999,0.02525120690261836,0.025552448135419237,1,1
